#Кодер, Камера, Сетевой адрес, Местонахождение, Номер, Аудио,Настройки PTZ Активирован,Настройки PTZ Порт,Настройки PTZ Протокол,Настройки PTZ Адрес PTZ
Кам_01 (76.28),Кам_01 (76.28),172.16.76.28,Logical Tree,1,Аудио 1 (172.16.76.28),False,COM1,,1
Кам_02 (76.14),Кам_02 (76.14),172.16.76.14,Logical Tree,2,Аудио 1 (172.16.76.14),False,COM1,,1
Кам_03 (76.13),Кам_03 (76.13),172.16.76.13,Logical Tree,3,Аудио 1 (172.16.76.13),False,COM1,,1
Кам_04  (76.12),Кам_04  (76.12),172.16.76.12,Logical Tree,4,Аудио 1 (172.16.76.12),False,COM1,,1
Кам_05 (76.26),Кам_05 (76.26),172.16.76.26,Logical Tree,5,Аудио 1 (172.16.76.26),False,COM1,,1
Кам_06 (76.25),Кам_06 (76.25),172.16.76.25,Logical Tree,6,Аудио 1 (172.16.76.25),False,COM1,,1
Кам_07 (76.76),Кам_07 (76.76),172.16.76.76,Logical Tree,12,Аудио 1 (172.16.76.76),False,COM1,,1
Кам_08 (76.24),Кам_08 (76.24),172.16.76.24,Logical Tree,8,Аудио 1 (172.16.76.24),False,COM1,,1
Кам_09 (76.23),Кам_09 (76.23),172.16.76.23,Logical Tree,9,Аудио 1 (172.16.76.23),False,COM1,,1
Кам_10 (76.10),Кам_10 (76.10),172.16.76.10,Logical Tree,10,Аудио 1 (172.16.76.10),False,COM1,,1
Кам_11 (76.75),Кам_11 (76.75),172.16.76.75,Logical Tree,11,Аудио 1 (172.16.76.75),False,COM1,,1
Кам_12  (76.11),Кам_12  (76.11),172.16.76.11,Logical Tree,16,Аудио 1 (172.16.76.11),False,COM1,,1
Кам_13 (76.19),Кам_13 (76.19),172.16.76.19,Logical Tree,17,Аудио 1 (172.16.76.19),False,COM1,,1
Кам_14 (76.30),Кам_14 (76.30),172.16.76.30,Logical Tree,18,Аудио 1 (172.16.76.30),False,COM1,,1
Кам_16 (76.20),Кам_16 (76.20),172.16.76.20,Logical Tree,20,Аудио 1 (172.16.76.20),False,COM1,,1
Кам_17 (76.18),Кам_17 (76.18),172.16.76.18,Logical Tree,21,Аудио 1 (172.16.76.18),False,COM1,,1
Кам_18 (76.17),Кам_18 (76.17),172.16.76.17,Logical Tree,22,Аудио 1 (172.16.76.17),False,COM1,,1
Кам_19 (76.27),Кам_19 (76.27),172.16.76.27,Logical Tree,23,Аудио 1 (172.16.76.27),False,COM1,,1
Кам_20 (76.35),Кам_20 (76.35),172.16.76.35,Logical Tree,24,Аудио 1 (172.16.76.35),False,COM1,,1
Кам_21 (76.36),Кам_21 (76.36),172.16.76.36,Logical Tree,25,Аудио 1 (172.16.76.36),False,COM1,,1
Кам_22 (76.33),Кам_22 (76.33),172.16.76.33,Logical Tree,26,Аудио 1 (172.16.76.33),False,COM1,,1
Кам_23 (76.37),Кам_23 (76.37),172.16.76.37,Logical Tree,27,Аудио 1 (172.16.76.37),False,COM1,,1
Кам_24 (76.38),Кам_24 (76.38),172.16.76.38,Logical Tree,28,Аудио 1 (172.16.76.38),False,COM1,,1
Кам_25 (76.31),Кам_25 (76.31),172.16.76.31,Logical Tree,29,Аудио 1 (172.16.76.31),False,COM1,,1
Кам_26 (76.40),Кам_26 (76.40),172.16.76.40,Logical Tree,30,Аудио 1 (172.16.76.40),False,COM1,,1
Кам_27 (76.47),Кам_27 (76.47),172.16.76.47,Logical Tree,31,Аудио 1 (172.16.76.47),False,COM1,,1
Кам_28 (76.34),Кам_28 (76.34),172.16.76.34,Logical Tree,32,Аудио 1 (172.16.76.34),False,COM1,,1
Кам_29 (76.22),Кам_29 (76.22),172.16.76.22,Logical Tree,33,Аудио 1 (172.16.76.22),False,COM1,,1
Кам_30 (76.32),Кам_30 (76.32),172.16.76.32,Logical Tree,34,Аудио 1 (172.16.76.32),False,COM1,,1
Кам_55 (76.155),Кам_55 (76.155),172.16.76.155,Logical Tree,7,,False,COM1,,1
Кам_56 (76.151),Кам_56 (76.151),172.16.76.151,Logical Tree,13,,False,COM1,,1
Кам_57 (76.152),Кам_57 (76.152),172.16.76.152,Logical Tree,14,,False,COM1,,1
Кам_58 (76.153),Кам_58 (76.153),172.16.76.153,Logical Tree,15,,False,COM1,,1
Кам_59 (76.77),Кам_59 (76.77),172.16.76.77,Logical Tree,19,,False,COM1,,1
Кам_60 (76.78),Кам_60 (76.78),172.16.76.78,Logical Tree,35,,False,COM1,,1
Кам_61 (76.79),Кам_61 (76.79),172.16.76.79,Logical Tree,36,,False,COM1,,1
Кам_31 (76.61),Кам_31 (76.61),172.16.76.61,Логическое дерево,15,,False,COM1,,1
Кам_32 (76.62),Кам_32 (76.62),172.16.76.62,Логическое дерево,16,,False,COM1,,1
Кам_33 (76.65),Кам_33 (76.65),172.16.76.65,Логическое дерево,19,,False,COM1,,1
Кам_34 (76.57),Кам_34 (76.57),172.16.76.57,Логическое дерево,11,,False,COM1,,1
Кам_35 (76.58),Кам_35 (76.58),172.16.76.58,Логическое дерево,12,,False,COM1,,1
Кам_36 (76.59),Кам_36 (76.59),172.16.76.59,Логическое дерево,13,,False,COM1,,1
Кам_37 (76.60),Кам_37 (76.60),172.16.76.60,Логическое дерево,14,,False,COM1,,1
Кам_38 (76.66),Кам_38 (76.66),172.16.76.66,Логическое дерево,9,,False,COM1,,1
Кам_39 (76.68),Кам_39 (76.68),172.16.76.68,Логическое дерево,17,,False,COM1,,1
Кам_40 (76.63),Кам_40 (76.63),172.16.76.63,Логическое дерево,7,,False,COM1,,1
Кам_41 (76.67),Кам_41 (76.67),172.16.76.67,Логическое дерево,10,,False,COM1,,1
Кам_42 (76.64),Кам_42 (76.64),172.16.76.64,Логическое дерево,8,,False,COM1,,1
Кам_43 (76.69),Кам_43 (76.69),172.16.76.69,Логическое дерево,18,,False,COM1,,1
Кам_44(76.53),Кам_44(76.53),172.16.76.53,Логическое дерево,3,,False,COM1,,1
Кам_45 (76.56),Кам_45 (76.56),172.16.76.56,Логическое дерево,6,,False,COM1,,1
Кам_46 (76.55),Кам_46 (76.55),172.16.76.55,Логическое дерево,5,,False,COM1,,1
Кам_47 (76.54),Кам_47 (76.54),172.16.76.54,Логическое дерево,4,,False,COM1,,1
Кам_48 (76.52),Кам_48 (76.52),172.16.76.52,Логическое дерево,2,,False,COM1,,1
Кам_49 (76.51),Кам_49 (76.51),172.16.76.51,Логическое дерево,1,,False,COM1,,1
Кам_50 (76.80),Кам_50 (76.80),172.16.76.80,Логическое дерево,20,,False,COM1,,1
Кам_51 (76.83),Кам_51 (76.83),172.16.76.83,Логическое дерево,24,,False,COM1,,1
Кам_52 (76.84),Кам_52 (76.84),172.16.76.84,Логическое дерево,21,,False,COM1,,1
Кам_53 (76.81),Кам_53 (76.81),172.16.76.81,Логическое дерево,22,,False,COM1,,1
Кам_54 (76.82),Кам_54 (76.82),172.16.76.82,Логическое дерево,23,,False,COM1,,1
